75;955;43;20;82;03.02.03;3;Hak Pakai;Baik;Tidak;Beton;SK Walikota;Berada di Dalam Areal Lahan Kantor Pusat Perumdam ;22.5 (7.5x3);03.02.03;-;14/07/2023;-;bak filter instalasi 1.jpg;Bak Filter Instalasi 1
76;949;43;20;82;03.02.03;4;Hak Pakai;Baik;Tidak;Beton;SK Walikota;Berada di Dalam Areal Lahan Kantor Pusat Perumdam ;36 (12x3);03.02.03;-;14/07/2023;-;bak resservoir instalasi....jpg;Resservoir 1
77;942;43;20;82;03.02.03;5;Hak Pakai;Kurang Baik;Tidak;Beton;SK Walikota;Berada di Dalam Areal Lahan Kantor Pusat Perumdam ;35.2 (8.8x4);03.02.03;-;14/07/2023;-;IMG_20230112_115328.jpg;Rumah Pompa Kontinyu
78;1066;43;20;82;03.02.03;6;Hak Pakai;Baik;Tidak;Beton;SK Walikota;Berada di Dalam Areal Lahan Kantor Pusat Perumdam ;4.4 (2.2x2);03.02.03;-;14/07/2023;-;IMG_20230112_120255.jpg;WC/Kamar Mandi
79;905;43;20;82;03.02.03;7;Hak Pakai;Kurang Baik;Tidak;Beton;SK Walikota;Berada di Dalam Areal Lahan Kantor Pusat Perumdam ;122.8 (19.5x6.3);03.02.03;-;17/07/2023;-;bak pengolahan instalasi 5 (2).jpg;Bak IPA Instalasi 2
80;955;43;20;82;03.02.03;8;Hak Pakai;Baik;Tidak;Beton;SK Walikota;Berada di Dalam Areal Lahan Kantor Pusat Perumdam ;60.75 (13.5x4.5);03.02.03;-;17/07/2023;-;IMG_20230112_120926.jpg;Bak Filter Instalasi 2
81;905;43;20;82;03.02.03;9;Hak Pakai;Baik;Tidak;Beton;SK Walikota;Berada di Dalam Areal Lahan Kantor Pusat Perumdam ;252 (18x14);03.02.03;-;17/07/2023;-;bak pengolahan instalasi 3.jpg;Bak IPA Instalasi 3
82;955;43;20;82;03.02.03;10;Hak Pakai;Baik;Tidak;Beton;SK Walikota;30,2 (8,4x3,6);Berada di Dalam Areal Lahan Kantor Pusat Perumdam ;03.02.03;-;17/07/2023;-;bak filter instalasi 3.jpg;Bak Filter Instalasi 3
83;949;43;20;82;03.02.03;11;Hak Pakai;Baik;Tidak;Beton;SK Walikota;Berada di Dalam Areal Lahan Kantor Pusat Perumdam ;30.2 (7.8x7.7);03.02.03;-;17/07/2023;-;bak pengolahan instalasi 3.jpg;Resservoir 3
84;942;43;20;82;03.02.03;12;Hak Pakai;Kurang Baik;Tidak;Beton;SK Walikota;52,5 m2 (7,5x7);erada di Dalam Areal Lahan Kantor Pusat Perumdam ;03.02.03;-;17/07/2023;-;rumah pompa instalasi 3.jpg;Rumah Pompa & PBK Istalasi 3
85;905;43;20;82;03.02.03;13;Hak Pakai;Baik;Tidak;Beton;SK Walikota;Berada di Dalam Areal Lahan Kantor Pusat Perumdam ;13.5(lingkaran);03.02.03;-;17/07/2023;-;IMG20210927102042.jpg;Bak IPA Instalasi 4
86;949;43;20;82;03.02.03;14;Hak Pakai;Baik;Tidak;Beton;SK Walikota;Berada di Dalam Areal Lahan Kantor Pusat Perumdam ;44.5 (13.5x3.3);01.01.11.04.24;-;0001-01-01;-;x;Bak Resservoir 3&4
87;965;43;20;82;03.02.03;15;Hak Pakai;Baik;Tidak;Beton & Kayu;SK Walikota;Berada di Dalam Areal Lahan Kantor Pusat Perumdam ;Beton 32(8x4) Kayu 20(5x4);03.02.03;-;14/07/2023;-;IMG_20230112_120312.jpg;Rumah Pengaduk Garam (Chlor)
88;1064;43;20;82;03.02.03;16;Hak Pakai;Baik;Tidak;Tidak;SK Walikota;Berada di Dalam Areal Lahan Kantor Pusat Perumdam ;6.6 (3.3x2);01.01.11.04.24;-;0001-01-01;-;x;Rumah Parkir
89;971;43;20;82;03.02.03;17;Hak Pakai;Baik;Tidak;Tidak;SK Walikota;Berada di Dalam Areal Lahan Kantor Pusat Perumdam ;2.25 (1.5x1.5);01.01.11.04.24;-;0001-01-01;-;x;Pos Satpam
90;35;43;20;82;03.02.03;18;Hak Pakai;Rusak Berat;Tidak;Beton;SK Walikota;Berada di Dalam Areal Lahan Kantor Pusat Perumdam ;15.6 (6.5x2.4);01.01.13.13.01;-;0001-01-01;-;x;Musholla
91;942;43;20;82;03.02.03;19;Hak Pakai;Baik;Tidak;Beton;SK Walikota;68.4 (12x5.7));Berada dlm area lahan Tirta Kencana;03.02.03;-;17/07/2023;-;ruang pompa bakcwash n pompa blower instalasi 3.jpg;Rumah Pompa Back Wash Ist.5
92;933;43;20;82;03.02.03;20;Hak Pakai;Baik;Bertingkat;Beton;SK Walikota;Berada di Dalam Areal Lahan Kantor Pusat Perumdam ;67.5 (15x4.5);03.02.03;-;17/07/2023;-;rumah control filter instalasi 5 (2).jpg;Ruang Kontrol Filter Istalasi 5
93;905;43;20;82;03.02.03;21;Hak Pakai;Baik;Tidak;Beton;SK Walikota;Berada di Dalam Areal Lahan Kantor Pusat Perumdam ;12.5(Lingkaran);03.02.03;-;17/07/2023;-;bak pengolahan instalasi 5 (2).jpg;Bak IPA Instalasi 5
94;955;43;20;82;03.02.03;22;Hak Pakai;Baik;Tidak;Beton;SK Walikota;145.5 (15x9.7);Berada dlm area lahan Tirta Kencana;03.02.03;-;17/07/2023;-;bak filter instalasi 5 (2).jpg;Bak Filter Instalasi 5
95;949;43;20;82;03.02.03;23;Hak Pakai;Baik;Tidak;Beton;SK Walikota;Berada di Dalam Areal Lahan Kantor Pusat Perumdam ;202.5 (15x13.5);01.01.11.04.24;-;0001-01-01;-;x;Bak Resservoir 5
96;942;44;20;86;03.02.04;1;"Surat Penunjukan Walikota : 2101/A-3/PEM/1988 ; Tg";Baik;Tidak;Beton;Hibah;212.5 (12.5x17);Berada dalam area lahan IPA Sebrang 100.000 M2;03.02.04;-;14/07/2023;-;kantor asmen dan pbk.jpg;Rumah Pompa & Ruang Operator
97;951;44;20;86;03.02.04;2;"Surat Penunjukan Walikota : 2101/A-3/PEM/1988 ; Tg";Baik;Tidak;Beton;Hibah;132 (22x6);Berada dalam area lahan IPA Sebrang 100.000 m2;03.02.04;-;20/07/2023;-;kantor asmen dan pbk (2).jpg;Gedung Kantor dan PBK
98;905;44;20;86;03.02.04;3;"Surat Penunjukan Walikota : 2101/A-3/PEM/1988 ; Tg";Baik;Tidak;Beton;Hibah;504 (36x14);Berada dlm areal IPA Smd Seberang ( Luas 10000 M2);03.02.04;-;20/07/2023;-;bak instalasi PENGOLAHAN.jpg;Bak IPA
99;35;44;20;86;03.02.04;4;"Surat Penunjukan Walikota : 2101/A-3/PEM/1988 ; Tg";Baik;Tidak;Beton;Hibah;43.8 (7.3x6);Berada dalam area lahan IPA Sebrang 100.000 M2;03.02.04;-;20/07/2023;-;musholla.jpg;Musholla
100;949;44;20;86;03.02.04;5;"Surat Penunjukan Walikota : 2101/A-3/PEM/1988 ; Tg";Baik;Tidak;Beton;Hibah;212.5 (17x12.5);Berada dalam area lahan IPA Sebrang 100.000 M2;03.02.04;-;20/07/2023;-;resservoir ipa.jpg;Resservoir IPA
101;949;44;20;86;03.02.04;6;"Surat Penunjukan Walikota : 2101/A-3/PEM/1988 ; Tg";Baik;Tidak;Beton;Hibah;169 (13x14);Berada dalam area lahan IPA Sebrang 100.000 M2;03.02.04;-;20/07/2023;-;resservoir wtp.jpg;Resservoir WTP
102;982;44;20;86;03.02.04;7;"Surat Penunjukan Walikota : 2101/A-3/PEM/1988 ; Tg";Baik;Tidak;Tidak;Hibah;55,9;Berada dlm areal IPA Smd Seberang ( Luas 10000 M2);03.02.04;-;20/07/2023;-;bak wtp.jpg;Bak WTP
103;1067;44;20;86;03.02.04;8;"Surat Penunjukan Walikota : 2101/A-3/PEM/1988 ; Tg";Baik;Tidak;Tidak;Hibah;Berada dlm areal IPA Smd Seberang ( Luas 10000 M2);Tinggi 6m;01.01.11.04.24;-;0001-01-01;-;x;Menara Bahan Kimia WTP
104;971;44;20;86;03.02.04;9;"Surat Penunjukan Walikota : 2101/A-3/PEM/1988 ; Tg";Baik;Tidak;Beton;Hibah;Berada dlm areal IPA Smd Seberang ( Luas 10000 M2);12 (4x3);01.01.11.04.24;-;0001-01-01;-;pos stpam.jpeg;Pos Satpam
